text,intent
"app ka latest version kaunsa hai?","general_query"
"mujhe delivery address change karna hai order ke baad","general_query"
"chat support se human agent se baat karni hai","general_query"
"mera order cancel kar do please","general_query"
"same day delivery available hai kya?","general_query"
"agent se baat karwa do, bot se samajh nahi aa raha","general_query"
"order ka status check karna hai","general_query"
"maine galat product order kar diya, change kar sakta hoon?","general_query"
"rider ne kaha ghar pe aya tha lekin main to ghar pe tha","delivery_issue"
"delivery address correct tha phir bhi order return ho gaya","delivery_issue"
"parcel damaged condition me mila hai","delivery_issue"
"tracking id invalid dikha rahi hai","delivery_issue"
"parcel wrong city me deliver ho gaya hai","delivery_issue"
"delivery bohot delay ho rahi hai, urgent chahiye tha","delivery_issue"
"order half delivered aaya hai, baaki items missing hain","delivery_issue"
"parcel open tha jab receive kiya","delivery_issue"
"tracking history update nahi ho rahi 2 din se","delivery_issue"
"delivery boy ne phone nahi uthaya","delivery_issue"
"refund ka status abhi bhi initiated hi dikh raha hai","refund_issue"
"maine refund bank me chaha tha but wallet me aa gaya","refund_issue"
"refund process me error aa raha hai","refund_issue"
"maine wrong UPI id enter kar di thi refund ke liye","refund_issue"
"refund hold pe kyu hai, koi update?","refund_issue"
"exchange initiate kiya tha par refund mil gaya, kaise?","refund_issue"
"refund approve hua tha par paise nahi aaye","refund_issue"
"credit card pe refund reflect nahi hua","refund_issue"
"mujhe store credit me refund nahi chahiye, bank me chahiye","refund_issue"
"return pickup ke baad refund kab milega?","refund_issue"
"account verification required likha aa raha hai login par","account_issue"
"email verify nahi ho raha link expired dikha raha hai","account_issue"
"mobile number verify nahi ho raha","account_issue"
"account pe unauthorized login attempt ka message aa raha hai","account_issue"
"main apna username change karna chahta hoon","account_issue"
"account details update nahi ho rahi, error aa raha hai","account_issue"
"kyu mera account temporary block ho gaya?","account_issue"
"old phone number nahi chal raha otp nahi aa raha","account_issue"
"mera email wrong register hua tha, change ka option nahi mil raha","account_issue"
"profile picture upload nahi ho rahi","account_issue"
"payment double deduct ho gaya, kya karun?","payment_issue"
"credit card decline ho raha hai","payment_issue"
"upi not supported dikha raha hai kya karein?","payment_issue"
"payment processing me bohot time lag raha hai","payment_issue"
"cod select nahi ho raha, reason batao","payment_issue"
"discount apply hone ke baad amount change ho gaya","payment_issue"
"payment gateway crash ho gaya transaction ke time","payment_issue"
"mera promo code valid tha phir bhi apply nahi hua","payment_issue"
"bank ne transaction failed bola but aapki side success shown hai","payment_issue"
"paypal payment option kahan hai?","payment_issue"
"ye product brand new hai ya refurbished?","product_info"
"mobile ke box me charger milta hai ya nahi?","product_info"
"is laptop me ms office include hai kya?","product_info"
"washing machine fully automatic hai ya semi?","product_info"
"tv me bluetooth supported hai kya?","product_info"
"ye headphone gaming ke liye theek hai kya?","product_info"
"product ki images original hain ya edited?","product_info"
"restock date kya hai? mujhe urgently chahiye","product_info"
"ye product real leather ka bana hai ya synthetic?","product_info"
"cloth shrink hota hai ya nahi?","product_info"
"customer care se kaise baat karun?","general_query"
"order modify karna hai, kaise hoga?","general_query"
"delivery instructions add karna bhool gaya, ab possible hai?","general_query"
"invoice nahi mil raha order page pe","general_query"
"replacement request ka status kaise check karun?","general_query"
"complaint raise kar di thi, abhi tak revert nahi mila","general_query"
"shipping kahan se hoti hai aapki warehouse ki location kya hai?","general_query"
"helpline number busy aa raha hai kya karun?","general_query"
"my account page open nahi ho raha","general_query"
"delivery fast karwa sakte ho? mujhe urgent chahiye","general_query"
"order ko hold pe rakhwana hai","general_query"
"gift note add karna tha package me","general_query"
"call back request chahiye support team se","general_query"
"order mistakenly duplicate ho gaya cancel karwana hai","general_query"
"mujhe cashback kab milega purchase ka?","general_query"
"delivery partner rude tha complaint karna hai","general_query"
"order confirm email nahi aaya","general_query"
"app crash ho rahi hai open karte hi","general_query"
"website bohot slow chal rahi hai","general_query"
"order discount wrong apply hua, correction chahiye","general_query"
"mera order pending hai, confirm karo please","general_query"
"cancelled order ka refund kitne din me aayega?","refund_issue"
"rider ne pickup cancel kar diya bina message kiye","delivery_issue"
